paragraph_index,category,summary,status,required_evidence_or_owner
5,results,"Abstract metrics and complexity",OPEN,"validated official aggregate and complexity evidence"
20,results,"Protocol result values",OPEN,"validated official aggregate"
50,architecture,"Table 2 tensor dimensions",READY_FOR_WORD,"reports/architecture_inventory.json and architecture gates"
104,architecture,"BSEI response padding and channels",READY_FOR_WORD,"manuscript/sections/bsei.md and manuscript/tables/bsei.csv"
117,architecture,"Final decoder width",READY_FOR_WORD,"reports/architecture_inventory.json and models/convnext_pretrain.py"
144,methods,"Loss and auxiliary weights",READY_FOR_WORD,"configs/training_protocol.yaml and research_pipeline/losses.py"
163,efficiency,"Latency",OMIT_NO_EVIDENCE,"no reproducible benchmark; disclose in limitations"
164,efficiency,"FPS",OMIT_NO_EVIDENCE,"no reproducible benchmark; disclose in limitations"
165,efficiency,"Peak memory",OMIT_NO_EVIDENCE,"no reproducible benchmark; disclose in limitations"
166,complexity,"Parameters and FLOPs",READY_FOR_REVIEW,"reports/architecture_gate.json"
178,data,"Leakage and duplicate screening count",QUALIFIED_LIMITATION,"patient/procedure/video identifiers unavailable; do not claim patient-level separation"
193,metrics,"S-measure alpha",OMIT_NOT_IMPLEMENTED,"not present in validated evaluation pipeline"
229,statistics,"Seeds and meaningful-difference rule",READY_FOR_WORD,"three seeds; sample SD; two-sided 95% Student-t interval with df=2; descriptive interpretation"
234,results,"Provisional table uncertainty",OPEN,"validated official aggregate"
236,results,"Results narrative",OPEN,"validated official aggregate"
243,results,"Cumulative ablation table",OPEN,"18 completed official runs"
244,results,"Mechanism isolation table",OPEN,"completed control experiments"
245,results,"Ablation narrative",OPEN,"validated aggregate and uncertainty"
254,figure,"Size-stratified analysis",OPEN,"validated test evaluation"
279,declaration,"Code/archive URL and conditions",USER_REQUIRED,"user decision"
285,declaration,"Author contributions",USER_REQUIRED,"author-provided roles"
